Number,Title,Author,URL
54,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/54
53,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/53
52,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/52
51,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/51
50,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/50
49,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/49
48,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/48
47,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/47
46,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/46
45,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/45
44,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/44
43,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/43
42,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/42
41,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/41
40,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/40
39,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/39
38,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/38
37,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/37
36,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/36
35,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/35
34,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/34
33,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/33
32,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/32
31,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/31
30,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/30
29,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/29
28,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/28
27,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/27
26,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/26
25,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/25
24,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/24
23,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/23
22,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/22
21,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/21
20,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/20
19,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/19
18,Dtfs 3 create reports,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/18
17,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/17
16,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/16
15,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/15
14,dev-deployment,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/14
13,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/13
12,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/12
11,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/11
10,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/10
9,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/9
8,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/8
7,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/7
6,Update index.html-change1,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/6
5,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/5
4,Update index.html,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/4
3,changing to check if data is getting print.,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/3
2,changing to check if data is getting print.,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/2
1,feat: testing,Abhijeet1Jadhav,https://github.com/Abhijeet1Jadhav/semantic1/pull/1
